player,team,primary_position,total_minutes,probability,decision,npga_p90,shots_p90,npxg_p90,touches_in_box_p90,key_passes_p90,pressures_p90
Juan Ignacio Gómez Taleb,Hellas Verona,Left Wing,1929,0.0777,not recommended,0.0467,1.6796,0.1266,16.1897,1.0264,16.7496
Aleksandar Tonev,Frosinone,Right Wing,1133,0.0638,not recommended,0.0794,2.5419,0.0774,4.2895,0.7944,16.0459
Marko Livaja,Empoli,Right Center Forward,671,0.0608,not recommended,0.1341,2.1461,0.1011,11.9374,0.6706,20.6557
Ante Rebić,Hellas Verona,Left Wing,781,0.0595,not recommended,0.1152,1.959,0.1436,12.2151,0.4609,21.3188
Ricardo Kishna,Lazio,Left Wing,582,0.0571,not recommended,0.3093,1.3918,0.1093,8.6598,1.701,17.1649
Riccardo Meggiorini,Chievo,Right Center Forward,1694,0.0522,not recommended,0.5844,2.072,0.1481,15.1948,0.9032,22.9516
Oliver Kragl,Frosinone,Left Wing,951,0.0512,not recommended,0.0946,2.9338,0.0966,4.3533,1.041,23.3754
Diego Ángel Capel Trinidad,Genoa,Right Wing,768,0.051,not recommended,0.0,1.6406,0.1318,8.2031,1.0547,18.1641
Marco D''Alessandro,Atalanta,Right Wing,1223,0.0503,not recommended,0.3679,1.0303,0.153,8.1684,1.0303,16.4105
Diego Perotti,Genoa,Left Wing,2427,0.0474,not recommended,0.445,1.4833,0.1118,8.529,2.1508,23.733
Iago Falqué Silva,AS Roma,Left Wing,1205,0.0412,not recommended,0.2988,1.195,0.1029,7.8423,1.2697,18.6722
Robin Quaison,Palermo,Left Wing,1579,0.0403,not recommended,0.171,1.14,0.0658,8.6067,1.197,27.4161
Anthony Mounier,Bologna,Right Wing,1983,0.04,not recommended,0.2723,0.9531,0.1464,10.5749,1.2708,23.9637
Boško Janković,Hellas Verona,Right Wing,941,0.0314,not recommended,0.0956,1.4346,0.123,7.9384,0.2869,12.9118
Luca Rizzo,Bologna,Right Wing,1496,0.0269,not recommended,0.1203,1.0829,0.0812,5.6551,0.7219,23.4024
Carlos Mario Carbonero Mancilla,Sampdoria,Right Wing,1073,0.0154,not recommended,0.1678,0.5033,0.0581,7.8006,0.9226,24.576
